FLOW_ID,PROTOCOL_MAP,L4_SRC_PORT,IPV4_SRC_ADDR,L4_DST_PORT,IPV4_DST_ADDR,FIRST_SWITCHED,FLOW_DURATION_MILLISECONDS,LAST_SWITCHED,PROTOCOL,TCP_FLAGS,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,TCP_WIN_MIN_IN,TCP_WIN_MIN_OUT,TCP_WIN_MSS_IN,TCP_WIN_SCALE_IN,TCP_WIN_SCALE_OUT,SRC_TOS,DST_TOS,TOTAL_FLOWS_EXP,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,TOTAL_PKTS_EXP,TOTAL_BYTES_EXP,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,ANALYSIS_TIMESTAMP,ANOMALY,ALERT,ID
127.0.0.1-127.0.0.1-40769-39668-6,TCP,40769,127.0.0.1,39668,127.0.0.1,1719670055,0,1719670055,6,24,24571,24571,24571,24571,,,,,,1,273,273,1,273,273,1,0,0,1719670055,0,None,177409
127.0.0.1-127.0.0.1-40769-39668-6,TCP,40769,127.0.0.1,39668,127.0.0.1,1719670055,0,1719670055,6,24,24571,24571,24571,24571,,,,,,1,273,273,2,546,546,2,0,0,1719670055,0,None,177409
127.0.0.1-127.0.0.1-39668-40769-6,TCP,39668,127.0.0.1,40769,127.0.0.1,1719670055,0,1719670055,6,16,24571,24571,24571,24571,,,,,,1,66,66,1,66,66,1,0,0,1719670055,0,None,379169
127.0.0.1-127.0.0.1-39668-40769-6,TCP,39668,127.0.0.1,40769,127.0.0.1,1719670055,0,1719670055,6,16,24571,24571,24571,24571,,,,,,1,66,66,2,132,132,2,0,0,1719670055,0,None,379169
10.0.5.2-192.168.220.135-23001-39556-6,TCP,23001,10.0.5.2,39556,192.168.220.135,1719670055,0,1719670055,6,24,8556,8556,8556,8556,,,,,,1,310,310,1,310,310,1,0,0,1719670055,0,None,205060
192.168.220.135-10.0.5.2-39556-23001-6,TCP,39556,192.168.220.135,23001,10.0.5.2,1719670055,0,1719670055,6,24,4364,4364,4364,4364,,,,,,1,102,102,1,102,102,1,0,0,1719670055,0,None,457817
127.0.0.1-127.0.0.1-40769-39668-6,TCP,40769,127.0.0.1,39668,127.0.0.1,1719670055,0,1719670055,6,24,24571,24571,24571,24571,,,,,,1,273,791,3,1337,1337,3,0,0,1719670055,0,None,177409
127.0.0.1-127.0.0.1-40769-39668-6,TCP,40769,127.0.0.1,39668,127.0.0.1,1719670055,0,1719670055,6,24,24571,24571,24571,24571,,,,,,1,273,791,4,2128,2128,4,0,0,1719670055,0,None,177409
127.0.0.1-127.0.0.1-39668-40769-6,TCP,39668,127.0.0.1,40769,127.0.0.1,1719670055,0,1719670055,6,16,24571,24571,24571,24571,,,,,,1,66,66,3,198,198,3,0,0,1719670055,0,None,379169
127.0.0.1-127.0.0.1-39668-40769-6,TCP,39668,127.0.0.1,40769,127.0.0.1,1719670055,0,1719670055,6,16,24571,24571,24571,24571,,,,,,1,66,66,4,264,264,4,0,0,1719670055,0,None,379169
10.0.5.2-192.168.220.135-23001-39556-6,TCP,23001,10.0.5.2,39556,192.168.220.135,1719670055,0,1719670055,6,24,8556,8556,8556,8556,,,,,,1,310,838,2,1148,1148,2,0,0,1719670055,0,None,205060
192.168.220.135-10.0.5.2-39556-23001-6,TCP,39556,192.168.220.135,23001,10.0.5.2,1719670055,0,1719670055,6,24,4364,4364,4364,4364,,,,,,1,102,102,2,204,204,2,0,0,1719670055,0,None,457817
192.168.220.135-10.0.5.2-39556-23001-6,TCP,39556,192.168.220.135,23001,10.0.5.2,1719670055,0,1719670055,6,24,4364,4364,4364,4364,,,,,,1,102,358,3,562,562,3,0,0,1719670055,0,None,457817
